disprotID,uniprotID,name,species,seqlength,numdisorder,discontent,numhomologs,gaps
DP00046,Q9QXN1,"Lymphoid enhancer-binding factor 1",Rattus norvegicus,397,102,25.7,1282,0.283587225842
DP00047,P02687,"Myelin basic protein",Bos taurus,169,169,100.0,28,0.273457311919
DP00048,P03406,"Protein Nef",Human immunodeficiency,206,107,51.9,589,0.198610031258
DP00049,P70475,"Myelin transcription factor 1-like protein",Rattus norvegicus,1187,120,10.1,349,0.809479465138
DP00050,P19246,"Neurofilament heavy polypeptide",Mus musculus,1087,679,62.5,1387,0.94606662115
DP00051,P07805,"Ornithine decarboxylase",Trypanosoma brucei,425,75,17.6,1420,0.594281690141
DP00052,P07214,"SPARC",Mus musculus,302,285,94.4,735,0.63485380117
DP00053,P27001,"Phenylalanine--tRNA ligase alpha subunit",Thermus thermophilus,350,85,24.3,1556,0.623952820203
DP00054,P78356,"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta",Homo sapiens,416,94,22.6,779,0.583686122416
DP00055,P10688,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",Rattus norvegicus,756,152,20.1,2702,0.604123651097
DP00057,P15340,"Sperm histone",Gallus gallus,62,62,100.0,20,0.0475806451613
DP00058,P06302,"Prothymosin alpha",Rattus norvegicus,112,112,100.0,88,0.164874188312
DP00060,P11409,"Modification methylase PvuII",Proteus hauseri,323,50,15.5,1672,0.423959330144
DP00061,P27694,"Replication protein A 70 kDa DNA-binding subunit",Homo sapiens,616,54,8.8,1084,0.799576329097
DP00062,P19793,"Retinoic acid receptor RXR-alpha",Homo sapiens,462,26,5.6,1458,0.189854384299
DP00063,P49799,"Regulator of G-protein signaling 4",Rattus norvegicus,205,77,37.6,1141,0.777968744665
DP00064,P03607,"Capsid protein",Southern cowpea,279,64,22.9,89,0.845154494382
DP00065,O86488,"Serine-aspartate repeat-containing protein D",Staphylococcus aureus,1315,555,42.2,2403,0.506234324212
DP00066,P27285,"Structural polyprotein",Sindbis virus,1245,0,0.0,48,0.0
DP00066_C001,P27285,"Structural polyprotein",Sindbis virus,264,113,42.8,36,0.179203539823
DP00067,Q57733,"Small heat shock protein HSP16.5",Methanocaldococcus jannaschii,147,32,21.8,1181,0.739812658764
DP00068,P60881,"Synaptosomal-associated protein 25",Rattus norvegicus,206,206,100.0,638,0.323363362449
DP00069,P63027,"Vesicle-associated membrane protein 2",Homo sapiens,116,116,100.0,815,0.326147662365
DP00070,P37840-1,"",,140,140,100.0,77,0.341001855288
DP00071,P23441,"Homeobox protein Nkx-2.1",Rattus norvegicus,372,173,46.5,1535,0.864529005291
DP00072,Q8WZ42-1,"",,7962,2174,27.3,,
DP00073,P04818,"Thymidylate synthase",Homo sapiens,313,83,26.5,1190,0.509395565455
DP00074,P03372,"Estrogen receptor",Homo sapiens,595,211,35.5,1997,0.852824260087
DP00075,P11387,"DNA topoisomerase 1",Homo sapiens,765,319,41.7,616,0.808751984692
DP00076,P06786,"DNA topoisomerase 2",Saccharomyces cerevisiae,1428,358,25.1,3134,0.890654133971
DP00077,P07248,"Regulatory protein ADR1",Saccharomyces cerevisiae,1323,37,2.8,2461,0.417804232514
DP00078,P01100,"Proto-oncogene c-Fos",Homo sapiens,380,165,43.4,864,0.947593995511
DP00079,Q92731-1,"",,530,103,19.4,1820,0.971081830791
DP00080,P15337,"Cyclic AMP-responsive element-binding protein 1",Rattus norvegicus,341,60,17.6,858,0.936460761461
DP00081,P51123,"Transcription initiation factor TFIID subunit 1",Drosophila melanogaster,2068,67,3.2,2331,0.990997393982
DP00082,P39935,"Eukaryotic initiation factor 4F subunit p150",Saccharomyces cerevisiae,952,98,10.3,384,0.75746704932
DP00083,P03069,"General control protein GCN4",Saccharomyces cerevisiae,281,57,20.3,448,0.102796052632
DP00084,P61244,"Protein max",Homo sapiens,160,110,68.8,1170,0.323014763015
DP00084_A002,P61244-2,"Isoform 2 of Protein max",Homo sapiens,151,69,45.7,1171,0.888142179977
DP00085,Q04206,"Transcription factor p65",Homo sapiens,551,123,22.3,230,0.964404383174
DP00086,P04637,"Cellular tumor antigen p53",Homo sapiens,393,115,29.3,154,0.635121400339
DP00087,P68336,"Tegument protein VP16",Human herpesvirus,490,133,27.1,18,0.486215538847
DP00088,P0ABI8,"Ubiquinol oxidase subunit 1",Escherichia coli,663,202,30.5,2187,0.691914870499
DP00089,P0ABJ1,"Ubiquinol oxidase subunit 2",Escherichia coli,315,59,18.7,1752,0.858331398499
DP00090,Q14722-2,"Isoform KvB1.1 of Voltage-gated potassium channel subunit beta-1",Homo sapiens,401,62,15.5,1645,0.983714089617
DP00091,P27088,"DNA repair protein complementing XP-A cells homolog",Xenopus laevis,267,169,63.3,248,0.373162817332
DP00092,Q08209,"Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform",Homo sapiens,521,161,30.9,2313,0.942931258106
DP00094,P04177,"Tyrosine 3-monooxygenase",Rattus norvegicus,498,155,31.1,1372,0.611469011568
DP00095,P00952,"Tyrosine--tRNA ligase",Geobacillus stearothermophilus,419,100,23.9,1675,0.380686567164
DP00096,Q9HKT1,"Lipoate-protein ligase A subunit 1",Thermoplasma acidophilum,262,15,5.7,1132,0.111130742049
DP00097,P10922,"Histone H1.0",Mus musculus,193,128,66.3,650,0.844807692308
DP00098,Q53654,"Collagen adhesin",Staphylococcus aureus,1183,18,1.5,1672,0.77312599681
DP00099,P50440,"Glycine amidinotransferase, mitochondrial",Homo sapiens,423,26,6.1,1462,0.985241502683
DP00100,P0A6H5,"ATP-dependent protease ATPase subunit HslU",Escherichia coli,443,35,7.9,3172,0.805134210052
DP00101,P12493,"Gag polyprotein",Human immunodeficiency,500,0,0.0,1781,0.0
DP00101_C006,P12493,"Gag polyprotein",Human immunodeficiency,52,36,69.2,575,0.0901449275362
DP00102,P10587,"Myosin-11",Gallus gallus,1979,118,6.0,4617,0.806250298271
DP00103,P09372,"Protein grpE",Escherichia coli,197,8,4.1,1278,0.134389671362
DP00104,P32773,"Transcription initiation factor IIA large subunit",Saccharomyces cerevisiae,286,31,10.8,184,0.537342215989
DP00105,Q59471,"Diol dehydrase beta subunit",Klebsiella oxytoca,224,45,20.1,156,0.698433048433
DP00106,Q59472,"Diol dehydrase gamma subunit",Klebsiella oxytoca,173,36,20.8,83,0.441432396252
DP00107,P69924,"Ribonucleoside-diphosphate reductase 1 subunit beta",Escherichia coli,376,35,9.3,1183,0.283009298394
DP00108,P07598,"Periplasmic [Fe] hydrogenase large subunit",Desulfovibrio vulgaris,421,24,5.7,3191,0.818356314635
DP00110,P40881,"Carbonic anhydrase",Methanosarcina thermophila,247,37,15.0,1687,0.929108124129
DP00111,P27577,"Protein C-ets-1",Mus musculus,440,107,24.3,435,0.852336448598
DP00112,P22239,"Desiccation-related protein clone PCC6-19",Craterostigma plantagineum,155,155,100.0,312,0.476861042184
DP00113,P31109,"Synaptobrevin homolog 1",Saccharomyces cerevisiae,117,93,79.5,805,0.252761637614
DP00114,P04350,"Tubulin beta-4A chain",Homo sapiens,444,51,11.5,1520,0.420175438596
DP00116,P81455,"Osteocalcin",Canis familiaris,49,49,100.0,73,0.159630975678
DP00117,P60058,"Protein transport protein Sec61 subunit gamma",Canis familiaris,68,35,51.5,266,0.10708915145
DP00118,P05059,"Chromogranin-A",Bos taurus,449,25,5.6,62,0.518064516129
DP00119,P10163,"Basic salivary proline-rich protein 4",Homo sapiens,310,294,94.8,108,0.411092214664
DP00120,P12957,"Caldesmon",Gallus gallus,771,136,17.6,128,0.287798713235
DP00121,Q51912,"Putative uncharacterized protein",Peptostreptococcus magnus,719,78,10.8,315,0.991778591779
DP00122,P15146,"Microtubule-associated protein 2",Rattus norvegicus,1861,1861,100.0,222,0.83113796225
DP00123,P01730,"T-cell surface glycoprotein CD4",Homo sapiens,458,38,8.3,2855,0.530629551111
DP00124,P23389,"Secretogranin-1",Bos taurus,646,646,100.0,53,0.487236403996
DP00125,P63292,"Somatoliberin",Bos taurus,106,29,27.4,156,0.0492926613616
DP00126,P10636-8,"Isoform Tau-F of Microtubule-associated protein tau",Homo sapiens,441,441,100.0,203,0.652848988528
DP00127,Q06556,"Fibronectin binding protein",Streptococcus dysgalactiae,1091,160,14.7,99,0.78023989899
DP00128,P40357,"Protein transport protein SEC9",Saccharomyces cerevisiae,651,651,100.0,374,0.676556839745
DP00129,Q04207,"Transcription factor p65",Mus musculus,549,304,55.4,236,0.110727029438
DP00130,P22531,"Small proline-rich protein 2E",Homo sapiens,72,45,62.5,58,0.294636015326
DP00131,Q91006,"Tropomodulin",Gallus gallus,359,92,25.6,1619,0.931633858796
DP00132,P07221,"Calsequestrin-1",Oryctolagus cuniculus,395,395,100.0,2347,0.417474502867
DP00133,P03422,"Phosphoprotein",Measles virus,507,316,62.3,73,0.622333969135
DP00134,Q06787,"Fragile X mental retardation protein 1",Homo sapiens,632,259,41.0,382,0.723038670683
DP00135,P10961,"Heat shock factor protein",Saccharomyces cerevisiae,833,167,20.0,1081,0.979260720003
DP00136,P15865,"Histone H1.2",Rattus norvegicus,217,217,100.0,708,0.54711135411
DP00137,P01050,"Hirudin variant-1",Hirudo medicinalis,65,16,24.6,8,0.046875
DP00138,P12272,"Parathyroid hormone-related protein",Homo sapiens,177,18,10.2,64,0.446180555556
DP00140,P0A7L8,"50S ribosomal protein L27",Escherichia coli,85,85,100.0,932,0.0551375915173
DP00141,O95405-1,"",,1425,89,6.2,1216,0.889442267889
DP00142,P14602,"Heat shock protein beta-1",Mus musculus,209,18,8.6,1397,0.683170285532
DP00143,P0A7N9,"50S ribosomal protein L33",Escherichia coli,55,55,100.0,839,0.0671795427457
DP00144,Q9VAN6,"Histone RNA hairpin-binding protein",Drosophila melanogaster,276,175,63.4,130,0.901582417582
DP00145,P0A7S3,"30S ribosomal protein S12",Escherichia coli,124,124,100.0,574,0.0911683713611
DP00146,P0A7T7,"30S ribosomal protein S18",Escherichia coli,75,75,100.0,1010,0.122429042904
DP00147,P0A7U3,"30S ribosomal protein S19",Escherichia coli,92,92,100.0,960,0.0991508152174
DP00148,P03347,"Gag polyprotein",Human immunodeficiency,512,0,0.0,1779,0.0
DP00148_C004,P03347,"Gag polyprotein",Human immunodeficiency,55,55,100.0,1021,0.232980144244
DP00151,P02547,"Neurofilament light polypeptide",Sus scrofa,549,106,19.3,1303,0.942903893772
DP00152,Q13426,"DNA repair protein XRCC4",Homo sapiens,336,93,27.7,138,0.46968988624
DP00153,P01112,"GTPase HRas",Homo sapiens,189,63,33.3,1809,0.228469644722
DP00154,P29353,"SHC-transforming protein 1",Homo sapiens,583,55,9.4,1469,0.852107184851
DP00155,P32851,"Syntaxin-1A",Rattus norvegicus,288,34,11.8,1348,0.248996334439
DP00156,P54725,"UV excision repair protein RAD23 homolog A",Homo sapiens,363,147,40.5,1477,0.790769117396
DP00157,Q56027,"",,684,115,16.8,7,0.165217391304
DP00158,P73124,"Ssl1911 protein",Synechocystis sp.,65,65,100.0,118,0.207822685789
DP00159,P09803,"Cadherin-1",Mus musculus,884,149,16.9,3082,0.770015548171
DP00160,P04851,"Nucleoprotein",Measles virus,525,125,23.8,66,0.614909090909
DP00161,P77173,"Cell division protein ZipA",Escherichia coli,328,147,44.8,358,0.708718124121
DP00162,O75324,"Stannin",Homo sapiens,88,23,26.1,8,0.0
DP00163,Q03768,"Protein GIR2",Saccharomyces cerevisiae,265,265,100.0,828,0.495975754261
DP00164,P05318,"60S acidic ribosomal protein P1-alpha",Saccharomyces cerevisiae,106,106,100.0,1058,0.223659806684
DP00165,P0AFI7,"Pyridoxine/pyridoxamine 5'-phosphate oxidase",Escherichia coli,218,64,29.4,1216,0.401148745888
DP00166,P19429,"Troponin I, cardiac muscle",Homo sapiens,210,88,41.9,266,0.366712235133
DP00167,P10114,"Ras-related protein Rap-2a",Homo sapiens,183,23,12.6,1774,0.0938189304446
DP00168,Q9NVS9,"Pyridoxine-5'-phosphate oxidase",Homo sapiens,261,48,18.4,1333,0.858042635659
DP00169,P32882,"Tubulin beta-2 chain",Gallus gallus,445,32,7.2,1605,0.480607476636
DP00170,Q39805,"Dehydrin-like protein",Glycine max,226,226,100.0,102,0.702325177859
DP00171,P04049,"RAF proto-oncogene serine/threonine-protein kinase",Homo sapiens,648,34,5.2,3126,0.953210266832
DP00172,Q16633,"POU domain class 2-associating factor 1",Homo sapiens,256,23,9.0,21,0.293995859213
DP00173,O00273-1,"",,331,116,35.0,184,0.270380434783
DP00174,P16949,"Stathmin",Homo sapiens,149,149,100.0,84,0.163630552892
DP00175,Q9NQB0,"Transcription factor 7-like 2",Homo sapiens,619,56,9.0,1245,0.963023522662
DP00176,P42512,"Fe(3+)-pyochelin receptor",Pseudomonas aeruginosa,720,46,6.4,2235,0.313072658302
DP00177,Q9Y5B0,"RNA polymerase II subunit A C-terminal domain phosphatase",Homo sapiens,961,83,8.6,1565,0.9839639709
DP00179,P01094,"Protease A inhibitor 3",Saccharomyces cerevisiae,68,36,52.9,4,0.00694444444444
DP00180,P19972,"Salt-mediated killer protoxin 1",Millerozyma farinosa,222,0,0.0,1,0.0
DP00180_C003,P19972,"Salt-mediated killer protoxin 1",Millerozyma farinosa,77,77,100.0,2,0.0194805194805
DP00181,P08775,"DNA-directed RNA polymerase II subunit RPB1",Mus musculus,1970,368,18.7,2430,0.87931763285
DP00182,P03087-1,"",,362,173,47.8,70,0.289677952106
DP00183,P48632,"Ferripyoverdine receptor",Pseudomonas aeruginosa,815,6,0.7,3531,0.428820919475
DP00184,P11473,"Vitamin D3 receptor",Homo sapiens,427,4,0.9,1567,0.535896617741
DP00185,P93165,"Em protein",Glycine max,105,105,100.0,53,0.182210242588
DP00186,Q95V77,"Late embryogenesis abundant protein 1",Aphelenchus avenae,143,143,100.0,1,0.0
DP00187,P04273,"Major prion protein",Mesocricetus auratus,254,96,37.8,78,0.583466880342
DP00188,P12359,"Oxygen-evolving enhancer protein 1, chloroplastic",Spinacia oleracea,332,248,74.7,163,0.1324955472
DP00189,P04324,"Protein Nef",Human immunodeficiency,206,43,20.9,590,0.130350808041
DP00190,P38038,"Sulfite reductase [NADPH] flavoprotein alpha-component",Escherichia coli,598,204,34.1,2834,0.496723954225
DP00191,P00747,"Plasminogen",Homo sapiens,810,11,1.4,2862,0.816180674671
DP00192,P02668,"Kappa-casein",Bos taurus,190,182,95.8,39,0.190476190476
DP00193,P02754,"Beta-lactoglobulin",Bos taurus,178,178,100.0,1037,0.169568656344
DP00194,P0AFZ3,"Stringent starvation protein B",Escherichia coli,165,55,33.3,325,0.849846153846
DP00195,P02313,"Non-histone chromosomal protein HMG-17",Bos taurus,89,89,100.0,167,0.106775213618
DP00196,P20810,"Calpastatin",Homo sapiens,708,141,19.9,117,0.307995393102
DP00197,P0A707,"Translation initiation factor IF-3",Escherichia coli,180,12,6.7,1065,0.0343505477308
DP00198,P33905,"Transcriptional activator protein traR",Rhizobium radiobacter,234,234,100.0,1737,0.34599884859
DP00199,P05814,"Beta-casein",Homo sapiens,226,226,100.0,48,0.413440265487
DP00200,P20963-1,"",,164,113,68.9,49,0.290771175727
DP00201,P02721,"ATP synthase-coupling factor 6, mitochondrial",Bos taurus,108,76,70.4,93,0.0517826825127
DP00202,P0A8H9,"DNA gyrase inhibitor YacG",Escherichia coli,65,29,44.6,540,0.295849297573
DP00205,Q82S91,"Metal-binding protein smbP",Nitrosomonas europaea,117,117,100.0,60,0.224643874644
DP00206,P17838,"Fimbrial protein",Pseudomonas aeruginosa,157,41,26.1,2346,0.614247395671
DP00207,P21513,"Ribonuclease E",Escherichia coli,1061,563,53.1,1301,0.905255282519
DP00208,Q9S446,"Sortase",Staphylococcus aureus,206,13,6.3,1610,0.0311036789298
DP00209,P46170,"Beta-defensin 12",Bos taurus,38,4,10.5,154,0.181818181818
DP00210,P62993,"Growth factor receptor-bound protein 2",Homo sapiens,217,9,4.1,1981,0.546749677492
DP00211,P24592,"Insulin-like growth factor-binding protein 6",Homo sapiens,240,33,13.8,679,0.335921810149
DP00213,P06180,"Histone-binding protein N1/N2",Xenopus laevis,590,21,3.6,423,0.700551615445
DP00214,P10451,"Osteopontin",Homo sapiens,314,314,100.0,39,0.306385758615
DP00215,P42768,"Wiskott-Aldrich syndrome protein",Homo sapiens,501,33,6.6,643,0.658702106603
DP00216,Q9FUM5,"BN28a",Brassica napus,65,65,100.0,100,0.128615384615
DP00217,P05221,"Nucleoplasmin",Xenopus laevis,200,81,40.5,226,0.741887905605
DP00218,Q90623-2,"Isoform 2 of Protein phosphatase 1 regulatory subunit 12A",Gallus gallus,963,299,31.0,2346,0.26481137751
DP00219,O60927,"Protein phosphatase 1 regulatory subunit 11",Homo sapiens,126,126,100.0,217,0.468912296101
DP00220,P17810,"Peripherin-2",Bos taurus,345,63,18.3,1280,0.742249503968
DP00221,P07476,"Involucrin",Homo sapiens,585,60,10.3,50,0.603333333333
DP00222,P32499,"Nucleoporin NUP2",Saccharomyces cerevisiae,720,720,100.0,972,0.810172325103
DP00223,P14635,"G2/mitotic-specific cyclin-B1",Homo sapiens,433,78,18.0,1724,0.967911535487
DP00224,P15884,"Transcription factor 4",Homo sapiens,667,130,19.5,710,0.943846153846
DP00225,Q05140,"Clathrin coat assembly protein AP180",Rattus norvegicus,915,569,62.2,648,0.938369242119
DP00226,Q9CXW3,"Calcyclin-binding protein",Mus musculus,229,78,34.1,1087,0.661312009058
DP00227,Q9FUW7,"Omega gliadin storage protein",Triticum aestivum,280,280,100.0,169,0.557903634827
DP00228,P07293,"Voltage-dependent L-type calcium channel subunit alpha-1S",Oryctolagus cuniculus,1873,37,2.0,3428,0.733135702797
DP00229,P05455,"Lupus La protein",Homo sapiens,408,102,25.0,2377,0.891847525716
DP00230,Q14449,"Growth factor receptor-bound protein 14",Homo sapiens,540,75,13.9,1621,0.704980464734
DP00231,P14859,"POU domain, class 2, transcription factor 1",Homo sapiens,743,224,30.1,1654,0.944452841596
DP00232,P11845,"Protein phosphatase inhibitor 2",Oryctolagus cuniculus,205,205,100.0,296,0.382399472643
DP00233,P14448-1,"",,741,299,40.4,1405,0.958154703103
DP00234,Q02020,"Fibrinogen beta chain (Fragment)",Gallus gallus,463,62,13.4,1403,0.9771802359
DP00235,O93568,"Fibrinogen gamma chain",Gallus gallus,435,19,4.4,1558,0.80190527667
DP00236,P02686,"Myelin basic protein",Homo sapiens,304,171,56.3,35,0.375939849624
DP00237,P04370,"Myelin basic protein",Mus musculus,169,169,100.0,27,0.289064212141
DP00238,P38398,"Breast cancer type 1 susceptibility protein",Homo sapiens,1863,1507,80.9,2421,0.945889853957
DP00239,P31896,"Carbon monoxide dehydrogenase",Rhodospirillum rubrum,639,29,4.5,821,0.764122810702
DP00240,P35611-1,"",,737,308,41.8,1429,0.964008524715
DP00241,P35612-1,"",,726,318,43.8,1445,0.957689712955
DP00242,P0AG63,"30S ribosomal protein S17",Escherichia coli,83,83,100.0,1043,0.0790121175016
DP00243,P23025,"DNA repair protein complementing XP-A cells",Homo sapiens,273,27,9.9,253,0.0644122383253
DP00245,P00514,"cAMP-dependent protein kinase type I-alpha regulatory subunit",Bos taurus,379,22,5.8,2333,0.804601956124
DP00246,P21758-1,"",,453,50,11.0,3363,0.990347903657
DP00247,O06143,"Probable transcriptional regulatory protein pdtaR",Mycobacterium tuberculosis,205,12,5.9,2772,0.0352032227032
DP00248,Q9YBQ2,"Acylamino-acid-releasing enzyme",Aeropyrum pernix,582,9,1.5,3454,0.908511870295
DP00249,P63315,"Troponin C, slow skeletal and cardiac muscles",Bos taurus,161,56,34.8,1085,0.0718235681369
DP00250,P01555,"Cholera enterotoxin subunit A",Vibrio cholerae,258,11,4.3,152,0.924043062201
DP00251,O88339,"Epsin-1",Rattus norvegicus,575,432,75.1,621,0.763135921751
DP00252,P0A877,"Tryptophan synthase alpha chain",Escherichia coli,268,10,3.7,1180,0.180593220339
DP00253,P26645,"Myristoylated alanine-rich C-kinase substrate",Mus musculus,309,309,100.0,40,0.512216828479
DP00254,O75365-1,"",,173,34,19.7,1085,0.463106532936
DP00255,Q93096,"Protein tyrosine phosphatase type IVA 1",Homo sapiens,173,49,28.3,1102,0.379477017667
DP00256,P40316,"Securin",Saccharomyces cerevisiae,373,110,29.5,16,0.386931818182
DP00257,O31851,"Superoxide dismutase-like protein yojM",Bacillus subtilis,196,54,27.6,1155,0.161087061087
DP00259,P00703,"Lysozyme C",Meleagris gallopavo,147,19,12.9,498,0.272352568167
DP00260,P01106,"Myc proto-oncogene protein",Homo sapiens,439,196,44.6,513,0.753848907984
DP00261,Q9Y3R4,"Sialidase-2",Homo sapiens,380,19,5.0,1662,0.383209829628
DP00262,Q16665-1,"",,826,347,42.0,1781,0.949427757291
DP00263,P02693,"Fatty acid-binding protein, intestinal",Rattus norvegicus,131,12,9.2,755,0.0373068432671
DP00265,P04925,"Major prion protein",Mus musculus,254,98,38.6,77,0.580174927114
DP00267,P08510-1,"",,655,64,9.8,4114,0.992160913952
DP00268,P26747,"Coat protein",Enterobacteria phage,430,190,44.2,87,0.193284936479
DP00269,Q24298,"DE-cadherin",Drosophila melanogaster,1507,158,10.5,4433,0.934805700628
DP00270,Mm.342177 #95-105 #97-100,"",,220,11,5.0,1367,0.378798962559
DP00271,P02699,"Rhodopsin",Bos taurus,348,47,13.5,1671,0.176209939264
DP00272,P35372-1,"",,400,16,4.0,2266,0.0986319505737
DP00273,P04695,"Guanine nucleotide-binding protein G(t) subunit alpha-1",Bos taurus,350,11,3.1,2010,0.285888738128
DP00274,P02458-2,"",,1487,5,0.3,341,0.975953079179
DP00275,Q7CJN0,"Putative exported protein",Yersinia pestis,806,195,24.2,839,0.327428868311
DP00276,Q80FJ1,"Membrane fusion protein p14",Reptilian orthoreovirus,125,30,24.0,1,0.0
DP00277,Q12287,"Cytochrome c oxidase copper chaperone",Saccharomyces cerevisiae,69,32,46.4,197,0.483819796954
DP00278,P08050,"Gap junction alpha-1 protein",Rattus norvegicus,381,111,29.1,562,0.781491455869
DP00279,P08523,"Olfactory marker protein",Rattus norvegicus,163,43,26.4,15,0.0186046511628
DP00280,P0C2E9,"Perfringolysin O",Clostridium perfringens,500,52,10.4,116,0.112732095491
DP00282,Q04656-1,"",,1500,23,1.5,5704,0.95229129825
DP00284,P16009,"Tail-associated lysozyme",Enterobacteria phage,575,19,3.3,1232,0.949803485988
DP00285,P10388,"Glutenin, high molecular weight subunit DX5",Triticum aestivum,839,294,35.0,157,0.499653364531
DP00286,Q32NN2-1,"",,341,19,5.6,443,0.339550908875
DP00287,P40337,"Von Hippel-Lindau disease tumor suppressor",Homo sapiens,213,160,75.1,119,0.318277310924
DP00288,Q06253,"Antitoxin phd",Enterobacteria phage,73,73,100.0,1020,0.297555734623
DP00289,Q47785,"EntI protein",Enterococcus faecium,103,32,31.1,33,0.112689393939
DP00290,Q7DB66,"EscJ",Escherichia coli,190,26,13.7,1022,0.0398539816348
DP00291,Q9QXT8-1,"",,256,192,75.0,1863,0.258250022365
DP00292,P0C5S4,"Phosphorelay protein luxU",Vibrio harveyi,114,21,18.4,1027,0.197292159317
